TRAN_DATE,ITEM,ITEM_DESC,LOCATION,STORE_NAME,UNITS,STANDARD_UOM,TOTAL_COST,TOTAL_RETAIL,REF_NO_1,REF_NO_2,TRAN_CODE,DECODE,POST_DATE,ADJ_CODE,SUPPLIER
15/04/2026,69429,CUBIERTA FLEX LS 40 NEGRO C/96,113,113-HAMBURGO (EXPRESS),4,EA,8398.6344,0,3313338,5406530,20,Purchases,15/04/2026,,82390
15/04/2026,75611,MICA DOBLE CARTA 305X457 10M,113,113-HAMBURGO (EXPRESS),4,EA,3613.6728,0,3313338,5406530,20,Purchases,15/04/2026,,82390
15/04/2026,75615,MICA LEGAL 229X368.9 10M CLEAR,113,113-HAMBURGO (EXPRESS),4,EA,2199.6772,0,3313338,5406530,20,Purchases,15/04/2026,,82390
15/04/2026,75618,MICA CARTA 229X292 10M CLEAR,113,113-HAMBURGO (EXPRESS),4,EA,1742.0028,0,3313338,5406530,20,Purchases,15/04/2026,,82390
16/04/2026,100002118,ARILLO DE METAL NEGRO 1 1/4,113,113-HAMBURGO (EXPRESS),8,EA,1573.9264,0,3313356,5407164,20,Purchases,16/04/2026,,83261
16/04/2026,100002169,CUBIERTA PREMIUM LISA NEGRA,113,113-HAMBURGO (EXPRESS),8,EA,1467.784,0,3313356,5407164,20,Purchases,16/04/2026,,83261
14/04/2026,100127893,HP 730 MATTE BLACK INK CRTG,28,28-PLAZA MIYANA CDMX,1,EA,4863,0,3313387,5402137,20,Purchases,14/04/2026,,83614
14/04/2026,100127906,HP 730 GRAY INK CARTRIDGE,28,28-PLAZA MIYANA CDMX,1,EA,4863,0,3313387,5402137,20,Purchases,14/04/2026,,83614
14/04/2026,100127914,HP 730 PHOTO BLACK INK CRTG,28,28-PLAZA MIYANA CDMX,1,EA,4863,0,3313387,5402137,20,Purchases,14/04/2026,,83614
15/04/2026,73541,PIEDRA GRANDE,28,28-PLAZA MIYANA CDMX,10,EA,1343.11,775.862,1007150057,5406153,30,Transfers In,15/04/2026,,18588
15/04/2026,49430,PAPEL TRANSFER SUBLIMACION,28,28-PLAZA MIYANA CDMX,5,EA,2056.75,1293.1035,1007150046,5406153,30,Transfers In,15/04/2026,,18588
15/04/2026,60623,PIEDRA RECTANGULAR PEQUENA PZ,28,28-PLAZA MIYANA CDMX,10,EA,769.785,505.431,1007150053,5406153,30,Transfers In,15/04/2026,,18588
15/04/2026,49415,TAZA BLANCA 11 OZ CJA/36 PZ,28,28-PLAZA MIYANA CDMX,1,EA,570,611.2069,1007150045,5406153,30,Transfers In,15/04/2026,,18588
15/04/2026,49415,TAZA BLANCA 11 OZ CJA/36 PZ,28,28-PLAZA MIYANA CDMX,1,EA,570,611.2069,1007150045,5406153,30,Transfers In,15/04/2026,,18588
15/04/2026,100241881,CONSUMIBLE IMP KODAK 8800/8810L,19,19-RIO ELBA (EXPRESS) CDMX,1,EA,3185.23,0,3313361,5406870,20,Purchases,15/04/2026,,503
