SkuInsumo,Descripción,Material,Tamaño,Presentación,Contenido,Costo,Matarial y tamaño
33349,OPALINA BLANCA T/C 225G,Opalina,Carta,PAQUETE,100,198.25,Opalina Carta
33351,OPALINA BLANCA DOBLECARTA 225g,Opalina,Doble Carta,PAQUETE,100,371.35,Opalina Doble Carta
33352,EXTRA -COPY BRILLANTE 200G ( COUCHE ) T/CARTA,Couche,Carta,PAQUETE,250,271.1,Couche Carta
33353,EXTRA COPY  BRILLANTE 200G  (COUCHE ) T/DOBLE CAR,Couche,Doble Carta,PAQUETE,100,523,Couche Doble Carta
49628,KROMEKOTE DC BLANCO 247 GR,Krome,Doble Carta,CAJA C/10p_50pz,500,5259.3,Krome Doble Carta
49627,KROMEKOTE BLANCO CARTA 247 GR,Krome,Carta,CAJA C/15p_50pz,750,3828.25,Krome Carta
54693,COUGAR 98%BLANCURA 270G DC,Cougar,Doble Carta,PAQUETE,50,558.9,Cougar Doble Carta
54692,COUGAR 98% BLANCURA 270G CARTA,Cougar,Carta,PAQUETE,50,284.25,Cougar Carta
37483,ETIQUETA AUTOADHESIVA T/DC,Adhesivo,Doble Carta,PAQUETE,50,368.1,Adhesivo Doble Carta
35236,ETIQUETA AUTOADHESIVA  T/CARTA,Adhesivo,Carta,PAQUETE,50,139.4,Adhesivo Carta
