year,month,item_id_venta,item_desc,group_name,dept_name,class_name,subclass_name,location_key,sales_amount,sales_quantity,tickets,tipo_papel,size_papel,descripcion_papel,sku_venta
2025,5,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,186.21,9,4,Cougar,Doble Carta,Cougar Doble Carta,54693
2026,1,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,434.49,21,7,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,2,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,1562.07,77,12,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,2,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,20.69,1,1,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,10,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,1149.33,60,18,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,8,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,1613.81,78,26,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,9,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,103.45,5,3,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,6,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,2136.2297,107,33,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,6,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,331.04,16,5,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,9,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,1818.64,88,28,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,12,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,13,62.07,4,2,Cougar,Doble Carta,Cougar Doble Carta,54693
2026,3,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,2234.5,108,24,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,9,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,1717.2466,84,14,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,11,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,2544.85,144,26,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,1,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,1086.21,66,11,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,4,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,832.7694,42,18,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,3,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,1753.47,86,16,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,5,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,3078.83,169,35,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,7,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,1536.2191,75,21,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,12,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,1948.28,109,23,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,12,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,206.89,12,6,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,6,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,103.45,5,3,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,6,54702,COPI IMP COLOR COUG DC 51-100,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,967.24,51,1,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,6,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,2151.74,110,36,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,11,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,472.42,27,11,Cougar,Doble Carta,Cougar Doble Carta,54693
2026,3,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,368.69,18,7,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,8,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,620.69,30,7,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,7,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,41.38,2,1,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,12,54702,COPI IMP COLOR COUG DC 51-100,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,1289.66,68,1,Cougar,Doble Carta,Cougar Doble Carta,54693
2026,1,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,1261.88,62,18,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,12,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,28,2539.3697,124,31,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,1,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,13,41.38,2,1,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,2,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,165.52,8,3,Cougar,Doble Carta,Cougar Doble Carta,54693
2024,11,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,13,15.52,1,1,Cougar,Doble Carta,Cougar Doble Carta,54693
2025,3,54700,COPI IMP R COLOR COUG DC 1-50,SERVICENTRO,CENTRO DE SERVICIOS,COPIAS,COLOR,19,139.66,7,2,Cougar,Doble Carta,Cougar Doble Carta,54693
